Name,Ratings,Position,Version,PS,SKI,WF,WR,PAC,SHO,PAS,DRI,DEF,PHY,Body,Popularity,BS,IGS,Club,League,Country
Fabio Cannavaro,92,CB,Icon  Controlled,0,2,3,L \ H,80,43,63,68,95,85,"176cm | 5'9""  Average (74kg)",452,434,2065,FUT 22 ICONS,Icons,Italy
Ferenc Puskás,92,ST  CF,Icon  Controlled,1.6M,4,3,H \ M,89,95,90,91,47,77,"172cm | 5'8""  Stocky (75kg)",1779,489,2373,FUT 22 ICONS,Icons,Hungary
Gary Lineker,92,ST,Icon  Controlled,0,3,4,H \ L,88,91,73,86,36,76,"177cm | 5'10""  Average (74kg)",-25,450,2161,FUT 22 ICONS,Icons,England
Hristo Stoichkov,92,ST,Icon  Controlled,0,4,3,M \ M,92,93,86,92,50,86,"178cm | 5'10""  Average (73kg)",719,499,2407,FUT 22 ICONS,Icons,Bulgaria
Hugo Sánchez,92,ST,Icon  Explosive,0,3,4,H \ M,92,93,81,91,44,75,"176cm | 5'9""  Average (73kg)",368,476,2312,FUT 22 ICONS,Icons,Mexico
Javier Zanetti,92,RB,Icon  Controlled,0,2,4,H \ H,86,63,88,85,90,81,"178cm | 5'10""  Average (74kg)",246,493,2312,FUT 22 ICONS,Icons,Argentina
Kenny Dalglish,92,ST,Icon  Explosive,0,4,5,H \ M,90,92,77,90,41,73,"173cm | 5'8""  Average (73kg)",848,463,2271,FUT 22 ICONS,Icons,Scotland
Luís Figo,92,RW,Icon  Controlled,0,4,4,H \ L,92,88,89,92,41,80,"180cm | 5'11""  Average (75kg)",616,482,2283,FUT 22 ICONS,Icons,Portugal
Garrincha,92,RW  RM,Icon  Explosive,1.24M,5,4,M \ L,90,86,92,94,41,67,"169cm | 5'7""  Short & Lean- (71kg)",720,470,2275,FUT 22 ICONS,Icons,Brazil
Paolo Maldini,92,CB  LB,Icon  Lengthy,933K,2,4,M \ H,82,56,74,68,95,81,"186cm | 6'1""  Average (83kg)",1223,456,2115,FUT 22 ICONS,Icons,Italy
Peter Schmeichel,92,GK,Icon  Controlled,0,1,3,M \ M,92,87,88,94,49,90,"193cm | 6'4""  High & Stocky (92kg)",204,500,1300,FUT 22 ICONS,Icons,Denmark
Raúl González Blanco,92,CF,Icon  Controlled,0,4,4,H \ M,88,92,82,90,47,75,"180cm | 5'11""  Lean (68kg)",485,474,2297,FUT 22 ICONS,Icons,Spain
Rivaldo,92,LW,Icon  Controlled,0,4,2,M \ L,87,91,88,92,44,78,"186cm | 6'1""  High & Average+ (75kg)",155,480,2335,FUT 22 ICONS,Icons,Brazil
Ruud van Nistelrooy,92,ST,Icon  Controlled,0,3,3,H \ L,86,91,74,85,37,82,"188cm | 6'2""  High & Average (80kg)",52,455,2178,FUT 22 ICONS,Icons,Netherlands
Samuel Eto'o,92,ST,Icon  Controlled,0,4,4,H \ L,95,93,81,90,47,83,"179cm | 5'10""  Lean (75kg)",824,489,2358,FUT 22 ICONS,Icons,Cameroon
Müller,92,ST  CF,Icon  Controlled,927K,4,4,H \ M,84,93,75,86,42,75,"176cm | 5'9""  Stocky (74kg)",151,455,2237,FUT 22 ICONS,Icons,Germany
Jairzinho,92,RW,Icon,0,0,0,\,94,92,87,93,51,76,"173cm | 5'8""",81,493,-,FUT 22 ICONS,Icons,Brazil
Kevin De Bruyne,92,CM  CAM,IF  Controlled,655K,4,5,H \ H,75,89,94,88,66,79,"181cm | 5'11""  Unique (70kg)",412,491,2374,Manchester City,Premier League,Belgium
Lionel Messi,92,RW  RM,Champions League  Explosive,1.38M,4,4,L \ L,82,90,92,95,35,66,"169cm | 5'7""  Messi (67kg)",1066,460,2271,Paris SG,Ligue 1,Argentina
Lionel Messi,92,CAM,Ligue 1 POTM SBC  Explosive,741.25K,4,4,L \ L,82,90,91,95,35,65,"169cm | 5'7""  Messi (67kg)",3020,458,2262,Paris SG,Ligue 1,Argentina
Alan Shearer,91,ST,Icon  Lengthy,0,2,3,H \ M,81,93,77,78,52,85,"182cm | 6'0""  Average (78kg)",-95,466,2282,FUT 22 ICONS,Icons,England
Andriy Shevchenko,91,ST,Icon  Controlled,0,3,4,H \ H,88,92,72,87,34,75,"183cm | 6'0""  Average (72kg)",446,448,2185,FUT 22 ICONS,Icons,Ukraine
Bastian Schweinsteiger,91,CM,Icon  Controlled,0,3,3,H \ H,76,86,89,86,86,86,"183cm | 6'0""  Average (79kg)",463,509,2479,FUT 22 ICONS,Icons,Germany
Clarence Seedorf,91,CAM,Icon  Controlled,0,4,4,M \ M,80,87,90,88,68,82,"176cm | 5'9""  Stocky (78kg)",249,495,2392,FUT 22 ICONS,Icons,Netherlands
David Trezeguet,91,ST,Icon  Lengthy,0,4,4,M \ L,81,92,70,82,45,80,"187cm | 6'2""  High & Average+ (75kg)",-107,450,2122,FUT 22 ICONS,Icons,France
Didier Drogba,91,ST,Icon  Lengthy,0,4,4,H \ H,90,92,77,82,47,90,"189cm | 6'2""  High & Average (88kg)",524,478,2283,FUT 22 ICONS,Icons,Côte d'Ivoire
Pelé,91,"CF  CAM,ST,LW",Icon  Explosive,2.75M,5,4,H \ M,94,89,88,93,53,73,"172cm | 5'8""  Unique (68kg)",892,490,2383,FUT 22 ICONS,Icons,Brazil
Edwin van der Sar,91,GK,Icon  Controlled,0,1,3,M \ M,85,90,81,89,40,95,"197cm | 6'6""  High & Average+ (83kg)",343,480,917,FUT 22 ICONS,Icons,Netherlands
Eusébio,91,CF  ST,Icon  Explosive,2.4M,4,5,H \ M,93,93,88,90,42,74,"175cm | 5'9""  Average (76kg)",1768,480,2345,FUT 22 ICONS,Icons,Portugal
Fernando Hierro Ruiz,91,CB,Icon  Lengthy,0,2,3,M \ H,73,68,76,70,93,87,"187cm | 6'2""  Average (84kg)",57,467,2292,FUT 22 ICONS,Icons,Spain
Fernando Torres,91,ST,Icon  Controlled,0,4,4,H \ M,93,90,79,88,45,78,"186cm | 6'1""  High & Average (78kg)",1015,473,2264,FUT 22 ICONS,Icons,Spain
Franco Baresi,91,CB,Icon  Controlled,160K,2,3,M \ H,69,48,74,70,94,80,"176cm | 5'9""  Average (71kg)",-26,435,2099,FUT 22 ICONS,Icons,Italy
Gheorghe Hagi,91,CAM,Icon  Explosive,0,4,4,M \ L,83,89,90,90,43,65,"172cm | 5'8""  Average (68kg)",2446,460,2269,FUT 22 ICONS,Icons,Romania
Ian Rush,91,ST,Icon  Controlled,0,3,4,H \ M,86,92,72,86,45,81,"180cm | 5'11""  Lean (79kg)",99,462,2226,FUT 22 ICONS,Icons,Wales
Johan Cruyff,91,"CF  CAM,ST",Icon  Explosive,3.05M,5,5,H \ L,91,89,88,93,41,72,"180cm | 5'11""  Lean (70kg)",2244,474,2289,FUT 22 ICONS,Icons,Netherlands
Riquelme,91,CAM,Icon  Controlled,0,5,4,M \ L,70,87,93,93,32,69,"183cm | 6'0""  Average (79kg)",41,444,2194,FUT 22 ICONS,Icons,Argentina
Kaká,91,CAM,Icon  Controlled,0,5,4,H \ M,91,86,88,92,44,73,"186cm | 6'1""  Unique (78kg)",1700,474,2264,FUT 22 ICONS,Icons,Brazil
Laurent Blanc,91,CB,Icon  Lengthy,0,2,3,M \ H,79,69,70,78,92,86,"192cm | 6'4""  High & Average (82kg)",230,474,2258,FUT 22 ICONS,Icons,France
Lev Yashin,91,GK,Icon  Controlled,378K,1,3,M \ M,93,85,73,93,62,92,"189cm | 6'2""  High & Average (82kg)",287,498,1295,FUT 22 ICONS,Icons,Russia
Lothar Matthäus,91,"CDM  CB,RM",Icon  Controlled,1.32M,3,4,H \ H,87,84,86,77,89,82,"174cm | 5'9""  Average (70kg)",1254,505,2448,FUT 22 ICONS,Icons,Germany
Marcel Desailly,91,CB,Icon  Lengthy,0,2,3,M \ H,83,52,66,67,90,90,"185cm | 6'1""  High & Average+ (81kg)",1116,448,2081,FUT 22 ICONS,Icons,France
Marco van Basten,91,ST  CF,Icon  Controlled,200K,3,4,M \ L,79,92,75,87,40,70,"188cm | 6'2""  High & Average+ (80kg)",123,443,2171,FUT 22 ICONS,Icons,Netherlands
Michael Ballack,91,CM,Icon  Lengthy,0,4,4,M \ H,81,90,88,83,81,86,"188cm | 6'2""  High & Average (85kg)",346,509,2439,FUT 22 ICONS,Icons,Germany
Michael Laudrup,91,CAM,Icon  Controlled,0,4,4,M \ M,85,79,90,92,38,64,"183cm | 6'0""  Average (78kg)",74,448,2164,FUT 22 ICONS,Icons,Denmark
Michael Owen,91,ST,Icon  Explosive,0,3,4,M \ M,90,89,70,88,34,67,"173cm | 5'8""  Average (70kg)",133,438,2129,FUT 22 ICONS,Icons,England
Miroslav Klose,91,ST,Icon  Controlled,0,3,4,H \ M,88,88,76,82,41,81,"184cm | 6'0""  Lean (74kg)",198,456,2206,FUT 22 ICONS,Icons,Germany
Patrick Kluivert,91,ST,Icon  Controlled,0,4,4,H \ L,86,88,80,83,41,82,"188cm | 6'2""  Average (81kg)",20,460,2227,FUT 22 ICONS,Icons,Netherlands
Patrick Vieira,91,CM,Icon  Lengthy,0,3,3,M \ H,83,80,82,85,90,91,"192cm | 6'4""  High & Average+ (83kg)",610,511,2395,FUT 22 ICONS,Icons,France
Paul Scholes,91,CM,Icon  Controlled,0,3,3,H \ M,72,87,91,80,64,82,"171cm | 5'7""  Short & Lean- (71kg)",-101,476,2341,FUT 22 ICONS,Icons,England
Pavel Nedvěd,91,LM,Icon  Controlled,0,4,5,H \ M,85,88,90,90,60,81,"177cm | 5'10""  Average (72kg)",308,494,2371,FUT 22 ICONS,Icons,Czech Republic
Petr Cech,91,GK,Icon  Controlled,0,1,3,M \ M,89,88,80,91,55,92,"196cm | 6'5""  High & Average (90kg)",236,495,1135,FUT 22 ICONS,Icons,Czech Republic
Philipp Lahm,91,RB,Icon  Explosive,0,3,3,H \ H,87,72,87,87,90,73,"170cm | 5'7""  Short & Lean- (65kg)",517,496,2401,FUT 22 ICONS,Icons,Germany
Robert Pirès,91,LM,Icon  Controlled,0,4,4,M \ M,88,82,88,89,40,64,"187cm | 6'2""  High & Average+ (74kg)",-69,451,2177,FUT 22 ICONS,Icons,France
Roberto Baggio,91,CAM  CF,Icon  Explosive,483K,5,4,M \ L,88,82,89,90,38,60,"174cm | 5'9""  Unique (72kg)",671,447,2171,FUT 22 ICONS,Icons,Italy
Roberto Carlos,91,LB,Icon  Controlled,0,3,2,H \ H,92,83,84,81,86,86,"168cm | 5'6""  Unique (69kg)",709,512,2472,FUT 22 ICONS,Icons,Brazil
Ronald Koeman,91,CB,Icon  Lengthy,0,3,3,H \ M,75,88,89,80,90,86,"181cm | 5'11""  Average (82kg)",54,508,2497,FUT 22 ICONS,Icons,Netherlands
Ronaldinho,91,"CAM  CF,LW",Icon  Controlled,2.67M,5,4,H \ L,91,86,88,92,36,79,"180cm | 5'11""  Ronaldinho (76kg)",1865,472,2261,FUT 22 ICONS,Icons,Brazil
Sócrates,91,CAM,Icon  Controlled,0,4,5,H \ M,84,90,91,90,45,84,"192cm | 6'4""  High & Average+ (79kg)",452,484,2339,FUT 22 ICONS,Icons,Brazil
Steven Gerrard,91,CM,Icon  Controlled,0,3,3,H \ M,77,90,90,85,77,84,"183cm | 6'0""  Average (83kg)",294,503,2414,FUT 22 ICONS,Icons,England
Zinedine Zidane,91,CM  CAM,Icon  Controlled,1.87M,5,5,H \ M,84,86,91,90,73,81,"185cm | 6'1""  High & Average (77kg)",1015,505,2427,FUT 22 ICONS,Icons,France
Robin van Persie,91,ST,Icon  Controlled,0,4,4,H \ L,85,94,87,90,46,74,"183cm | 6'0""  High & Average (71kg)",719,476,2308,FUT 22 ICONS,Icons,Netherlands
Wayne Rooney,91,ST,Icon  Controlled,0,3,4,H \ H,89,92,83,88,55,89,"176cm | 5'9""  Stocky (0kg)",1744,496,2389,FUT 22 ICONS,Icons,England
Diego Forlán,91,ST,WCHero,0,0,0,\,90,94,83,90,58,80,"180cm | 5'11""",136,495,-,HERO,LaLiga Santander,Uruguay
Rudolf Völler,91,ST,WCHero,0,0,0,\,91,94,78,90,49,87,"179cm | 5'10""",125,489,-,HERO,Serie A TIM,Germany
Karim Benzema,91,CF  ST,Normal  Controlled,60K,4,4,M \ M,80,88,83,87,39,78,"185cm | 6'1""  Average (81kg)",2623,455,2196,Real Madrid,LaLiga Santander,France
Robert Lewandowski,91,ST  CF,Normal  Controlled,55K,4,4,H \ M,75,91,79,86,44,83,"185cm | 6'1""  Unique (81kg)",886,458,2242,FC Barcelona,LaLiga Santander,Poland
Kylian Mbappé,91,"ST  CF,LW",Normal  Controlled,1.41M,5,4,H \ L,97,89,80,92,36,76,"182cm | 6'0""  Unique (73kg)",-2261,470,2223,Paris SG,Ligue 1,France
Kevin De Bruyne,91,CM  CAM,Normal  Controlled,133K,4,5,H \ H,74,88,93,87,64,77,"181cm | 5'11""  Unique (70kg)",814,483,2336,Manchester City,Premier League,Belgium
Lionel Messi,91,RW  RM,Normal  Explosive,247K,4,4,L \ L,81,89,90,94,34,64,"169cm | 5'7""  Messi (67kg)",1128,452,2232,Paris SG,Ligue 1,Argentina
Mohamed Salah,91,RM  RW,IF  Controlled,586K,4,3,H \ M,91,90,83,91,47,77,"175cm | 5'9""  Salah (71kg)",354,479,2295,Liverpool,Premier League,Egypt
Robert Lewandowski,91,ST  CF,OTW  Controlled,387K,4,4,H \ M,75,91,79,86,44,83,"185cm | 6'1""  Unique (81kg)",758,458,2242,FC Barcelona,LaLiga Santander,Poland
Cristiano Ronaldo,91,ST  CF,Rulebreakers  Controlled,1.54M,5,4,H \ L,83,89,80,90,37,78,"187cm | 6'2""  CR7 (83kg)",148,457,2252,Manchester Utd,Premier League,Portugal
Alessandro Del Piero,90,"CF  CAM,ST",Icon  Explosive,655K,4,5,M \ M,85,90,85,92,42,69,"174cm | 5'9""  Unique (74kg)",722,463,2235,FUT 22 ICONS,Icons,Italy
Alessandro Nesta,90,CB,Icon  Lengthy,185K,2,3,M \ H,71,41,62,66,91,85,"187cm | 6'2""  Unique (78kg)",76,416,1902,FUT 22 ICONS,Icons,Italy
Andrea Pirlo,90,CM  CDM,Icon  Explosive,356K,5,4,M \ M,75,79,93,90,68,65,"177cm | 5'10""  Lean (66kg)",496,470,2311,FUT 22 ICONS,Icons,Italy
Carles Puyol Saforcada,90,CB  RB,Icon  Lengthy,261K,2,3,M \ H,72,45,66,58,93,91,"178cm | 5'10""  Stocky (80kg)",554,425,2010,FUT 22 ICONS,Icons,Spain
Carlos Alberto Torres,90,"RB  RWB,CB",Icon  Controlled,653K,3,4,H \ M,90,63,80,83,87,84,"180cm | 5'11""  Average (75kg)",387,487,2266,FUT 22 ICONS,Icons,Brazil
Christian Vieri,90,ST,Icon  Lengthy,0,3,4,M \ M,83,91,74,83,40,84,"185cm | 6'1""  Stocky (80kg)",-51,455,2164,FUT 22 ICONS,Icons,Italy
Claude Makélélé,90,CDM,Icon  Controlled,0,3,3,L \ H,80,50,79,80,88,88,"174cm | 5'9""  Average (70kg)",469,465,2142,FUT 22 ICONS,Icons,France
Davor Šuker,90,ST,Icon  Controlled,0,4,4,H \ M,85,91,82,91,45,77,"183cm | 6'0""  Lean (78kg)",272,471,2305,FUT 22 ICONS,Icons,Croatia
Dennis Bergkamp,90,"CAM  RW,ST",Icon  Controlled,420K,4,4,H \ M,85,89,83,88,35,73,"183cm | 6'0""  Average (78kg)",410,453,2186,FUT 22 ICONS,Icons,Netherlands
Emilio Butragueño,90,ST  CF,Icon  Explosive,925K,3,5,M \ L,92,88,81,91,42,70,"168cm | 5'6""  Lean (68kg)",1320,464,2244,FUT 22 ICONS,Icons,Spain
Emmanuel Petit,90,CDM,Icon  Controlled,0,3,3,H \ H,77,79,82,78,87,89,"185cm | 6'1""  High & Average (79kg)",231,492,2356,FUT 22 ICONS,Icons,France
Éric Cantona,90,CF  ST,Icon  Controlled,2.36M,5,4,H \ M,85,90,89,91,54,90,"188cm | 6'2""  High & Average (89kg)",1231,499,2440,FUT 22 ICONS,Icons,France
Frank Lampard,90,CM,Icon  Lengthy,0,3,4,H \ M,74,90,88,84,73,81,"184cm | 6'0""  Average (89kg)",89,490,2361,FUT 22 ICONS,Icons,England
Frank Rijkaard,90,CDM,Icon  Lengthy,0,3,4,M \ M,77,76,83,80,90,87,"187cm | 6'2""  High & Average+ (85kg)",160,493,2318,FUT 22 ICONS,Icons,Netherlands
George Best,90,"RW  RM,CAM,LW",Icon  Explosive,982K,4,4,M \ L,90,90,83,93,57,70,"175cm | 5'9""  Lean (68kg)",3717,483,2347,FUT 22 ICONS,Icons,Northern Ireland
Gianfranco Zola,90,CF,Icon  Explosive,0,4,4,H \ M,86,91,88,91,43,63,"168cm | 5'6""  Short & Lean- (67kg)",1111,462,2228,FUT 22 ICONS,Icons,Italy
Henrik Larsson,90,ST,Icon  Explosive,0,3,4,H \ H,90,89,76,85,48,73,"178cm | 5'10""  Lean (75kg)",267,461,2274,FUT 22 ICONS,Icons,Sweden
Hernán Crespo,90,ST,Icon  Controlled,0,4,4,M \ L,89,90,72,89,38,73,"184cm | 6'0""  Average (78kg)",259,451,2179,FUT 22 ICONS,Icons,Argentina
Hristo Stoichkov,90,"LW  LM,ST",Icon  Controlled,775K,4,3,M \ M,90,90,87,90,48,84,"178cm | 5'10""  Average (73kg)",763,489,2359,FUT 22 ICONS,Icons,Bulgaria
Jari Litmanen,90,CAM,Icon  Controlled,0,3,4,M \ M,82,89,84,84,36,64,"181cm | 5'11""  Average (76kg)",29,439,2142,FUT 22 ICONS,Icons,Finland
Juan Sebastián Verón,90,CM,Icon  Controlled,0,3,4,M \ M,76,85,90,85,77,85,"186cm | 6'1""  High & Average (80kg)",168,498,2409,FUT 22 ICONS,Icons,Argentina
Kenny Dalglish,90,CF  ST,Icon  Explosive,830K,4,5,H \ M,87,90,79,89,42,71,"173cm | 5'8""  Average (73kg)",1218,458,2251,FUT 22 ICONS,Icons,Scotland
Luís Figo,90,"RW  RM,CAM",Icon  Controlled,618K,4,4,M \ M,90,86,88,91,40,78,"180cm | 5'11""  Average (75kg)",474,473,2245,FUT 22 ICONS,Icons,Portugal
Luis Hernández,90,ST,Icon  Explosive,0,4,3,H \ M,92,88,74,89,48,70,"175cm | 5'9""  Average (69kg)",241,461,2248,FUT 22 ICONS,Icons,Mexico
Garrincha,90,RW  RM,Icon  Explosive,840K,5,4,M \ L,90,83,88,93,41,67,"169cm | 5'7""  Short & Lean- (70kg)",675,462,2225,FUT 22 ICONS,Icons,Brazil
Michael Essien,90,CDM,Icon  Lengthy,0,3,4,H \ H,85,76,81,82,90,90,"177cm | 5'10""  Average (80kg)",654,504,2377,FUT 22 ICONS,Icons,Ghana
Nemanja Vidić,90,CB,Icon  Lengthy,0,2,3,M \ H,78,50,62,64,93,91,"190cm | 6'3""  High & Average (84kg)",1003,438,2068,FUT 22 ICONS,Icons,Serbia
Peter Schmeichel,90,GK,Icon  Controlled,172K,1,3,M \ M,89,84,85,93,50,86,"193cm | 6'4""  High & Average (92kg)",259,487,1242,FUT 22 ICONS,Icons,Denmark
Rio Ferdinand,90,CB,Icon  Lengthy,0,3,3,M \ M,83,49,67,65,91,86,"189cm | 6'2""  Unique (87kg)",463,441,2052,FUT 22 ICONS,Icons,England
Rivaldo,90,"CF  CAM,ST,LW",Icon  Controlled,446K,4,2,M \ L,85,90,87,90,43,77,"186cm | 6'1""  High & Average+ (76kg)",386,472,2290,FUT 22 ICONS,Icons,Brazil
Ronaldo,90,ST  CF,Icon  Controlled,2.2M,4,4,M \ M,94,90,77,91,42,72,"183cm | 6'0""  Base R9 (75kg)",1029,466,2200,FUT 22 ICONS,Icons,Brazil
Roy Keane,90,CM,Icon  Lengthy,0,2,3,M \ H,72,71,85,81,87,89,"180cm | 5'11""  Average (76kg)",81,485,2327,FUT 22 ICONS,Icons,Republic of Ireland
Rui Manuel César Costa,90,CAM,Icon  Controlled,0,4,4,M \ M,86,81,88,88,44,79,"180cm | 5'11""  Average (74kg)",96,466,2257,FUT 22 ICONS,Icons,Portugal
Ruud Gullit,90,"CM  CB,ST",Icon  Controlled,4.89M,4,5,H \ M,88,88,88,87,80,87,"191cm | 6'3""  Unique (88kg)",1602,518,2488,FUT 22 ICONS,Icons,Netherlands
Ruud van Nistelrooy,90,ST  CF,Icon  Lengthy,169K,3,3,H \ L,82,88,72,82,38,80,"188cm | 6'2""  High & Average (80kg)",12,442,2127,FUT 22 ICONS,Icons,Netherlands
Samuel Eto'o,90,ST  CF,Icon  Controlled,1.34M,4,4,H \ M,91,91,82,88,53,81,"179cm | 5'10""  Lean (75kg)",1386,486,2351,FUT 22 ICONS,Icons,Cameroon
Thierry Henry,90,"LW  LM,ST",Icon  Controlled,939K,4,4,M \ M,90,88,85,87,51,77,"188cm | 6'2""  High & Average (83kg)",803,478,2278,FUT 22 ICONS,Icons,France
Xavier Hernández,90,CM,Icon  Explosive,315K,4,3,M \ M,77,74,93,92,66,68,"170cm | 5'7""  Short & Lean- (67kg)",517,470,2288,FUT 22 ICONS,Icons,Spain
Jean-Pierre Papin,90,ST,WCHero,0,0,0,\,85,94,74,85,45,77,"178cm | 5'10""",31,460,-,HERO,Ligue 1,France
Lúcio,90,CB,WCHero,0,0,0,\,83,73,76,78,93,90,"188cm | 6'2""",99,493,-,HERO,Bundesliga,Brazil
Xabi Alonso,90,CDM,Icon,0,0,0,\,70,80,88,81,85,82,"183cm | 6'0""",-31,486,-,FUT 22 ICONS,Icons,Spain
Jairzinho,90,RW  RM,Icon  Controlled,2.77M,5,4,H \ H,93,89,86,91,49,75,"173cm | 5'8""  Average (74kg)",134,483,2321,FUT 22 ICONS,Icons,Brazil
